Feature Id,Importances,Feature Name
36,13.094369787037289,H2_mean
12,11.696822481301957,H2_std
21,7.579062310304331,H2_min
3,4.214818605290459,H2_max
9,3.3519472848769207,H2_median
10,3.337564881484461,H2_skew
17,3.316858301118511,H2_kurtosis
26,3.2343514056515943,H2_range
18,2.865292141357405,H2_energy
13,2.6453700651071004,CO_mean
22,2.6042812576723215,CO_std
20,2.4390162353105596,CO_min
25,2.387038417184243,CO_max
37,2.3755108924742485,CO_median
7,2.1602053244782686,CO_skew
11,2.1066965099755772,CO_kurtosis
19,2.0828862820548064,CO_range
15,2.0262456484010998,CO_energy
16,1.8722047520114782,C2H4_mean
1,1.865313636562867,C2H4_std
14,1.8491824951287343,C2H4_min
5,1.8345796712631013,C2H4_max
8,1.8260605911887406,C2H4_median
2,1.6633673948526784,C2H4_skew
0,1.653345806830579,C2H4_kurtosis
4,1.5234100311986951,C2H4_range
6,1.5189359856368307,C2H4_energy
33,1.3050308288712145,C2H2_mean
23,1.2908065321185394,C2H2_std
32,1.1989864311476301,C2H2_min
28,1.1163270791841076,C2H2_max
24,1.0193443764815453,C2H2_median
34,0.9812283033158037,C2H2_skew
30,0.9562753730306154,C2H2_kurtosis
29,0.9466242151949174,C2H2_range
31,0.7982654934780883,C2H2_energy
35,0.6871102769033437,H2_CO_ratio
27,0.5752628945193293,C2H4_C2H2_ratio
